,comment
0,"[검색어를 입력하세요 www]
일 잘하고 사랑 잘하는 검블유 다시보기
 https://youtube.com/playlist?list=PLdyB3s37qpTNYwCaGJ89SzR4A7wKIrTW6"
1,Love this couple very much. Park Mo Gun and Bae Ta Mi are made for one another. And Jang Ki Yong and Im Soo Jung have played them so well. Thanks for casting them to made the characters come alive and stand out! 
2,Im so obsessed with this couple! I love the way their story showed in this drama. It was realistic but still very sweet! They absolutely could overcome the age-gap
3,"Amei essa série isso é o que chamamos do Verdadeiro  Empoderamento da Mulher   !! três Magníficas Bae Tami, Son Gong e a maravilhosa Scarlett."
4,남자역할 진짜 매력적인게..상대방에 대한 배려가 몸에 베어있는게 정말좋은듯..다가갈때도 상대방이 부담스러워하지않도록 신경쓰는것도 그렇고..
5,현실에서 박모건 얼굴 바라지도 않아 멘트나 센스라도ㅠㅠㅠ
6,와 장기용 ㅋㅋ... 목소리랑 얼굴이랑 진자 에바다...
7,My heart melts every time Park Morgan smiles 
8,이거 보다가 못 참겠어서 정주행 하고 왔는데 진짜 대사가 다 너무좋다 이건 꼭 정주행 해야되
9,만날때마다 키스하는 편이네 부터 나 그런 실수하는 사람 아니에요 뭐긴 키스받은남자지 귀여우면 가져야지.....명대사 파티라구요ㅠㅠㅠㅠ작가님 제 절 받으세요 사랑해요ㅜㅜㅜㅜ이걸 이렇게까지 잘 살린 장기용도 진짜ㅜㅜㅠㅠㅜ
10,장기용씨 끼부리는게  넘나 잘어울리네 ㅋㅋ 코찡긋하는것두 귀엽구
11,"Simplemente son adorables, me encanta esta pareja"
12,"I dunno why i keep crying everytime i watch them. Other kdramas mostly told abt how love start but this one, it told us how a relationship should be and i think that's the hardest part. They're so different but they never gave up on each other because of that. I was the opposite of Bae Tami. She holds strong to her values and never sacrifice herself for the sake of relationship, meanwhile i sacrifice too much that i hurt myself but i keep ignoring it.  Watching Bae Tami and Park Morgan gives me courage <3 I hope i'll never lost myself again in my next relationship <3"
13,"many of Morgan lines actually so cheesy, but Jang Kiyong make it so heart fluttering.. >///////<
this drama really makes me crazy.."
14,오 장기용씨 능구렁이같은 연기두 잘하는군 느끼한 눈빛이 찰떡임 ㄷㄷ
15,"모르는 분들을 위해서
""미성년자는 아니야"" 이 부분이 드라마에서 배타미가 청문회에서 한 정치인에게 미성년자랑 조건만남했다고 말 해서 장기용이 일부러 놀린 거에요"
